Indv_ID,diff
1,7.125
2,0.125
3,NA
4,NA
5,1.75
6,NA
7,4.625
9,NA
10,NA
11,7.125
12,0.25
13,6.5
14,NA
15,0
16,6.5
17,NA
18,NA
19,0.625
20,4.5
21,NA
22,0
23,NA
24,4.625
26,1.875
27,0.875
28,7.375
29,0.375
30,NA
31,NA
32,0.125
33,0.25
36,NA
37,7.375
39,0.125
40,NA
41,0.125
42,NA
44,1.25
47,6.125
48,0
49,7.625
50,-1.125
51,NA
52,6.875
55,NA
56,7.4375
57,6.25
58,6.125
59,NA
60,2.25
61,0.125
62,0.5625
63,4.125
64,0.0625
65,5.625
66,NA
67,7.25
68,NA
69,6.25
71,NA
72,-0.1875
73,-0.0625
74,NA
75,3.625
76,NA
80,NA
81,NA
82,4.125
83,0.5
84,-0.0625
85,NA
86,NA
89,0
91,5.125
92,7.375
94,0.0625
95,0.25
96,7
97,1.5
98,1.5
99,0
100,6.375
101,3.5
102,0.0625
103,4.125
104,NA
105,0
106,NA
107,0.0625
108,1
109,0
110,0
111,NA
112,0
114,NA
115,2.875
116,3.875
117,NA
118,0
119,0.1875
120,2.8125
121,0
122,0
123,NA
125,0.375
126,7.75
127,0.5
128,-0.125
129,2.25
130,0
131,0.0625
132,0
134,7.75
135,NA
136,3.8125
137,NA
138,NA
139,7.8125
140,4.988932292
141,7.75
143,NA
144,0.875
145,0
146,1.125
147,0
148,0
149,0
150,0
151,0
152,0.4375
153,1.625
154,0
155,0.0625
156,5.6875
157,0
158,6.0625
159,NA
160,NA
161,4.625
162,0
163,-0.1875
164,NA
165,0
166,NA
167,NA
169,0
171,NA
172,-0.25
173,0
174,0.125
175,0
176,-0.25
177,0
178,NA
179,5.375
180,0
181,0.75
183,0
184,0
185,0
187,-1.4375
189,-0.5625
193,4.25
194,-0.1875
196,NA
197,-0.125
198,-1.375
200,NA
208,NA
209,NA
210,-0.375
213,NA
214,-0.9375
215,-0.25
217,-1.1875
218,-0.5625
219,0
221,0.125
222,0.125
235,NA
300,NA
301,0.125
302,0
303,3.25
304,-0.125
305,NA
306,-0.25
307,0.875
308,0.5
309,2.375
310,0.375
311,NA
312,0.125
313,1.75
314,5.375
315,NA
316,4.125
317,NA
318,0.25
319,NA
320,0
321,NA
322,0
323,0.5
324,-0.125
325,0.125
326,NA
327,0
328,NA
329,0.25
330,0.5
331,0.375
332,3.625
333,0
334,NA
335,0.625
337,NA
338,0.125
339,6.25
340,-0.125
341,0
342,0.5
343,-0.125
344,0
345,0.625
346,0
347,0.375
348,7.25
349,NA
350,0.5
351,NA
352,0
353,0.75
355,0.25
356,NA
357,3.125
358,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,0.625
367,NA
368,-0.25
370,NA
371,0.25
372,NA
373,0.625
374,0
375,NA
376,0.375
377,-0.5
378,NA
379,0.25
380,-1.875
381,NA
382,3.5
383,NA
384,-0.125
385,2.75
386,-0.125
387,NA
388,NA
389,NA
390,-0.125
391,NA
392,-0.25
393,NA
394,NA
395,NA
396,0.125
397,-0.125
398,NA
399,-0.5
400,0
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,1.75
411,-0.25
412,NA
413,0.875
414,NA
415,NA
416,NA
417,NA
