Indv_ID,Sex
1,0
2,1
3,NA
4,NA
5,1
6,NA
7,1
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,NA
22,1
23,1
24,1
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,1
36,0
37,1
39,0
40,NA
41,1
42,0
44,0
47,1
48,0
49,0
50,1
51,1
52,0
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,NA
67,0
68,0
69,1
71,1
72,1
73,0
74,0
75,0
76,1
80,0
81,NA
82,0
83,0
84,0
85,1
86,1
89,1
91,
92,0
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,1
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,1
125,0
126,1
127,0
128,1
129,1
130,0
131,1
132,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,0
169,1
171,NA
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,0
183,0
184,1
185,1
187,0
189,1
193,1
194,0
196,1
197,0
198,0
200,0
208,1
209,0
210,0
213,0
214,1
215,0
217,1
218,NA
219,0
221,1
222,0
235,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
355,NA
356,NA
357,NA
358,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
