"","Sex"
"1_61235",0.136551727886385
"c1.loc1",0.119226623249759
"c1.loc2",0.349637579011258
"1_929902",0.341228487072286
"1_666584",0.0676465895013436
"c1.loc3",0.0667053215187678
"1_695458",0.0654943917486648
"1_666669",0.0654992239073877
"1_659894",0.0669317925311574
"c1.loc4",0.078013972256187
"c1.loc5",0.134968376419891
"c1.loc6",0.249826021493568
"c1.loc7",0.369687108046534
"1_1688964",0.370743429020621
"c1.loc8",0.163236647005974
"c1.loc9",0.0278652738755554
"c1.loc10",4.77722444713891e-07
"c1.loc11",0.0111428460308574
"c1.loc12",0.0306565019959919
"1_2533272",0.0315109879975282
"1_2537093",0.0315098045450242
"1_2533185",0.0315098045468574
"1_2880124",0.0311408986579949
"c1.loc13",0.0130478584841569
"1_3062243",0.000320500798885348
"1_3025844",0.000323395343279742
"c1.loc14",9.27990189367733e-05
"1_3466266",0.000311763895609829
"c1.loc15",0.00550806825463468
"1_3721305",0.000143248622535452
"c1.loc16",0.00020207021163543
"1_3757997",0.000863752418347019
"1_3834552",0.000391713934973836
"1_3889266",0.00818736802319364
"c1.loc17",0.00749853418822966
"1_4021184",0.00135320801699379
"1_4096008",0.503516861922812
"c1.loc19",0.497934810658286
"1_4197004",0.478326719858586
"c1.loc20",0.425621823718593
"1_4279268",0.0982032008773075
"c1.loc21",0.0921527879897397
"1_4279373",0.0821642325253222
"c1.loc22",0.0859727792146288
"c1.loc23",0.101114070496493
"c1.loc24",0.115144925394141
"c1.loc25",0.0787407466807508
"c1.loc26",0.0130480273543725
"c1.loc27",1.27356138079904e-07
"c1.loc28",0.00354190976449331
"1_5767561",0.00481425242529809
"c1.loc29",0.0108813055350439
"c1.loc30",0.0226206385362602
"c1.loc31",0.0382123051910455
"c1.loc32",0.0570615000632344
"c1.loc33",0.0784136358413008
"1_6289531",0.0874478029422008
"1_6289507",0.0853510087813163
"1_6307621",0.0169871071465622
"c1.loc34",0.0161747482158319
"c1.loc35",0.0124943252552541
"1_6691294",0.0104880937722527
"c1.loc36",0.000623991056919238
"1_6749776",0.000403596693935526
"1_6743053",0.02939319531027
"1_6912064",0.0291492775290365
"c1.loc37",0.0250451248472672
"1_7042562",0.0164129362895409
"c1.loc38",0.0154446119919029
"c1.loc39",0.0108174276636461
"1_7253240",0.00717244024485808
"c1.loc40",0.00554956544424812
"1_7356636",0.00346234046342175
"c1.loc41",0.000237711991026401
"1_7356638",0.000135381081662445
"c1.loc42",0.00388386774147875
"c1.loc43",0.0187505789711579
"c1.loc44",0.0585925990828784
"1_8516414",0.138783691150913
"c1.loc45",0.129262964319913
"c1.loc46",0.00870433612605126
"c1.loc47",0.00420611314908825
"1_9284785",0.0118030991162144
"1_9424155",0.0112616177913907
"1_9388557",0.00551918188280354
"c1.loc48",0.014297809834801
"1_9060903",0.128844211727355
"c1.loc49",0.110306400792105
"1_9788875",0.0828962421065924
"c1.loc50",0.0848969020797625
"c1.loc51",0.11190807582134
"c1.loc52",0.138259063418268
"1_10830747",0.148114883359405
"c1.loc53",0.145921256464412
"1_11168597",0.144408565563772
"c1.loc54",0.164695419082797
"c1.loc55",0.211480251035447
"10_4018986",0.0271881165506045
"c1.loc56",0.0355336939327699
"c1.loc57",0.0620030919743328
"c1.loc58",0.0750115905371658
"c1.loc59",0.0759960917100742
"c1.loc60",0.0723653668052222
"c1.loc61",0.0679094237826234
"c1.loc62",0.0638293103179919
"c1.loc63",0.0603711531620235
"1_13433555",0.0590380950628671
"1_13411708",0.0574867394965111
"c1.loc64",0.0586947872819152
"17_4735662",0.0603659790604212
"c1.loc65",0.0592079459267012
"c1.loc66",0.0559267146524363
"c1.loc67",0.0524270965901366
"1_18477299",0.0506403303416363
"1_18216118",0.263859537049754
"c1.loc68",0.261911261281782
"1_18957759",0.260908495313991
"c1.loc69",0.401533921466154
"1_19365070",0.00182306325687875
"c1.loc70",0.0016357327555383
"1_19658204",0.000814009953828077
"1_19637630",0.000814010190438808
"c1.loc71",0.00263241217328414
"1_19817726",0.0113127460564897
"1_19817765",0.0121673700220981
"c1.loc72",0.0118724138890869
"c1.loc73",0.00921981779153214
"c1.loc74",0.00656491924959823
"c1.loc75",0.00415546432798664
"c1.loc76",0.00221577647528193
"c1.loc77",0.000880876784044915
"1_20799803",0.000807352148974871
"1_20799814",0.000436596260534827
"c1.loc78",0.00383435621962747
"c1.loc79",0.174451808589659
"1_21856314",0.328398612830952
"c1.loc80",0.315367560932906
"c1.loc81",0.25346568418874
"c1.loc82",0.16541126568022
"c1.loc83",0.0890960817105437
"c1.loc84",0.0407507629469848
"c1.loc85",0.0154546102720019
"c1.loc86",0.00413607652349413
"1_4912715",0.00120939555086608
"c1.loc87",4.3559019111683e-05
"1_23507587",0.00022382456825909
"c1.loc88",1.78970374520304e-07
"c1.loc89",0.000258853288819694
"5_1411032",0.000321313701604709
"c1.loc90",0.0090872719872408
"c1.loc91",0.0340735224859969
"c1.loc92",0.0704651654462367
"1_24197159",0.0887098087277067
"c1.loc93",0.0943895207863861
"c1.loc94",0.10269290458286
"13_14783587",0.10335736567523
"2_681715",3.22865188513754
